;H1-1;H1-2;H1-3;H2-1;H2-2;H2-3;H3-1;H3-2;H3-3
A0A3Q2HRL1;1;1;1;1;1;1;1;1;1
A0A3Q2HRL2;1;1;1;1;1;1;1;1;1
A0A3Q2HRN8;0;1;0;1;1;0;0;0;0
A0A3Q2HRQ1;0;0;1;0;0;0;0;0;0
A0A3Q2HRQ8;1;1;1;1;0;1;1;0;0
A0A3Q2HRU5;1;1;1;1;1;1;1;1;1
A0A3Q2HRV7;1;1;1;1;1;1;1;1;1
A0A3Q2HRX4;1;1;1;1;1;1;1;1;1
A0A3Q2HS25;1;1;1;1;1;1;1;1;1
A0A3Q2HS41;1;1;1;1;1;1;1;1;1
A0A3Q2HSJ1;1;1;1;1;1;1;0;0;1
A0A3Q2HSL2;1;1;1;1;1;1;1;1;1
A0A3Q2HSS0;1;1;1;0;0;0;0;1;1
A0A3Q2HSV4;1;1;1;1;0;1;1;1;1
A0A3Q2HSZ7;1;1;1;1;1;1;1;1;1
A0A3Q2HT03;1;1;1;1;1;1;1;1;1
A0A3Q2HT17;1;1;1;1;1;1;1;1;1
A0A3Q2HT83;1;1;1;1;1;0;0;0;0
A0A3Q2HTB3;1;1;1;1;1;1;1;1;1
A0A3Q2HTE7;1;1;1;1;0;0;1;1;1
A0A3Q2HTG2;1;1;1;1;1;1;1;1;1
A0A3Q2HTG4;1;1;0;1;0;1;0;1;1
A0A3Q2HTN1;1;1;1;1;1;1;1;1;1
A0A3Q2HTN4;1;1;1;1;1;1;1;1;1
A0A3Q2HTZ1;1;1;1;1;1;1;1;1;1
A0A3Q2HU27;1;1;1;1;1;1;1;0;0
A0A3Q2HU67;1;1;1;1;1;1;1;1;1
A0A3Q2HU92;1;1;1;1;1;1;1;1;1
A0A3Q2HUA3;1;1;1;1;1;1;1;1;1
A0A3Q2HUA6;1;1;1;1;1;1;1;1;1
A0A3Q2HUK6;1;1;1;1;1;1;1;1;1
A0A3Q2HUY8;1;1;1;1;1;1;1;1;1
A0A3Q2HV44;1;1;1;1;1;1;0;1;0
A0A3Q2HV51;1;1;1;1;1;1;1;1;1
A0A3Q2HV53;1;1;1;1;1;1;1;1;1
A0A3Q2HV80;1;1;1;1;1;1;0;1;1
A0A3Q2HVI8;1;1;1;1;1;1;1;1;1
A0A3Q2HVJ7;1;1;1;1;1;1;1;1;1
A0A3Q2HVL2;1;1;1;1;1;1;1;1;1
A0A3Q2HW84;1;1;0;0;1;0;0;0;0
A0A3Q2HWB1;1;1;1;1;1;1;1;1;0
A0A3Q2HWB7;1;1;1;1;1;1;1;1;1
A0A3Q2HWD8;1;1;1;1;1;1;1;1;0
A0A3Q2HWE7;1;1;1;1;1;1;1;1;1
A0A3Q2HWH1;1;1;1;1;1;1;1;1;1
A0A3Q2HWL8;1;1;0;1;1;1;1;1;1
A0A3Q2HWM1;0;0;0;0;0;1;0;0;0
A0A3Q2HWP9;1;1;1;1;1;1;1;1;1
A0A3Q2HWQ6;1;1;1;1;1;1;1;1;1
A0A3Q2HWW0;1;1;1;1;1;1;1;1;1
A0A3Q2HX27;1;1;1;1;1;1;1;0;0
A0A3Q2HX46;1;1;1;1;1;1;1;1;1
A0A3Q2HX48;1;1;1;1;1;1;1;1;1
A0A3Q2HX96;1;1;1;1;1;1;0;0;0
A0A3Q2HXB2;1;1;1;1;1;1;1;1;1
A0A3Q2HXD5;1;1;1;1;1;1;1;1;1
A0A3Q2HY77;1;1;1;1;1;1;1;1;1
A0A3Q2HYD7;1;1;1;1;1;1;1;1;1
A0A3Q2HYF4;1;1;1;1;1;1;1;0;1
A0A3Q2HYH6;1;1;1;1;1;1;1;1;1
A0A3Q2HYP0;0;0;1;0;1;0;0;0;0
A0A3Q2HYP3;1;1;1;1;1;0;1;1;1
A0A3Q2HYQ0;1;1;1;1;1;1;1;1;1
A0A3Q2HYV5;1;1;1;1;1;1;1;0;0
A0A3Q2HZB8;1;1;1;1;1;1;0;0;0
A0A3Q2HZD2;1;1;1;1;1;1;1;1;1
A0A3Q2HZM2;1;1;1;1;1;0;0;0;0
A0A3Q2HZR9;1;1;1;1;1;1;1;1;1
A0A3Q2HZU7;1;1;1;1;1;1;1;1;1
A0A3Q2HZV8;1;1;1;1;1;1;1;1;1
A0A3Q2HZW1;1;1;1;1;1;1;1;1;1
A0A3Q2I003;1;1;1;1;0;1;1;0;0
A0A3Q2I0E0;0;1;1;1;1;1;0;1;0
A0A3Q2I0Q6;1;1;1;1;0;0;1;1;1
A0A3Q2I0R9;1;1;1;1;1;1;1;1;1
A0A3Q2I0V0;0;0;1;1;0;0;1;0;0
A0A3Q2I0V7;1;1;1;1;1;1;0;1;0
A0A3Q2I0X0;1;1;1;1;1;1;1;0;0
A0A3Q2I129;1;1;1;1;1;1;1;1;1
