;P7 VLU heel;P8 VLU heel;P9 VLU heel;P10 VLU heel;P11 VLU heel;P12 VLU heel 
P15311135151;0;1;0;0;0;0
P15311484512;0;1;0;0;0;0
P15924111126;0;0;1;0;0;0
P1592413751392;0;0;0;0;0;1
P1592417431753;0;0;0;0;1;0
P1592420492075;0;1;0;0;0;0
P1592420552063;1;0;0;0;0;0
P15924210222;1;0;0;0;0;0
P1592423262334;0;1;0;0;0;0
P1592425582586;0;0;0;0;0;1
P1592426202639;0;0;1;0;0;0
P1592427332744;0;0;0;0;0;1
P159271540;0;1;0;0;0;0
P16070140150;0;1;0;0;0;0
P1614416501665;0;0;0;0;0;1
P16144210217;0;1;0;0;0;0
P16144262283;0;1;0;0;0;0
P16144962976;0;1;0;0;0;0
P1615717631777;0;0;1;0;0;0
P16157845861;0;1;0;0;0;0
P161579901001;0;0;1;0;0;0
P16949105112;0;1;0;0;0;0
P170964258;0;1;0;0;0;0
P17661233248;0;1;0;0;0;0
P1766184105;0;1;0;0;0;0
P1766190105;0;0;0;0;0;1
P17693143155;0;1;0;0;0;0
P17931174183P17931174183;0;0;0;0;0;1
P17987341355;0;0;0;0;0;1
P18031356371;0;0;0;0;0;1
P1807790100;0;0;0;0;0;1
P18206494502;0;1;0;0;0;0
P18206609622;0;1;0;0;0;0
P18206612622;1;0;0;0;0;0
P18615113125;0;0;0;0;0;1
P18669133140;0;1;0;0;0;0
P18827243249;0;0;0;1;0;0
P19012103115P13646102114;0;0;0;0;1;0
P191746676;0;1;0;0;0;0
P19338434457;0;0;0;0;0;1
P19338531546;0;0;0;0;1;0
P19823120129;1;0;0;0;0;0
P19827494514;1;0;0;0;0;0
P19838718729;0;0;0;0;0;1
P1997192109;0;1;0;0;0;0
P202263557;0;1;0;0;0;0
P20591142169;1;0;0;0;0;0
P207008390;0;1;0;0;0;0
P20774106127;0;0;1;0;0;0
P20810531558;0;1;0;0;0;0
P20810575581;0;0;0;0;0;1
P208106986;0;1;0;0;0;0
P20908141156;0;1;0;0;0;0
P20930108122;0;1;0;0;0;0
P2093012371248;0;0;0;0;0;1
P2093012661278;0;0;0;0;1;0
P2093013281350;0;0;0;1;0;0
P2093020572077;0;1;0;0;0;0
P20930210222;0;0;0;0;0;1
P20930425446;0;0;0;0;0;1
P20930429446;0;0;0;0;0;1
P212464467;0;0;1;0;0;0
P21281147163;0;1;0;0;0;0
P2133310601087;0;1;0;0;0;0
P2133313251357;0;0;0;0;0;1
P2133314981515;0;0;1;0;0;0
P213331524;0;0;1;0;0;0
P2133317371753;0;1;0;0;0;0
P2133319811993;0;0;0;0;0;1
P2133323112333;0;1;0;0;0;0
P2133326022612;1;0;0;0;0;0
P21333420437;0;0;0;0;0;1
P21333457467;1;0;0;0;0;0
P21333644655;0;0;0;0;0;1
P21333811828;1;0;0;0;0;0
P21399670688;0;1;0;0;0;0
P21810206214;0;1;0;0;0;0
P219535163;0;1;0;0;0;0
P21964186196;0;1;0;0;0;0
P220592136;0;1;0;0;0;0
P2210512591278;0;0;1;0;0;0
P2210517021724;0;1;0;0;0;0
P22105205220632259227023682379269327042909292031253136;1;0;0;0;0;0
P2210536373657;0;1;0;0;0;0
P221056476;0;0;0;1;0;0
P22105857869;0;1;0;0;0;0
P22307279286;0;1;0;0;0;0
P223075574;0;0;0;0;0;1
P22314218239;0;1;0;0;0;0
P22314426447;0;1;0;0;0;0
P22314528537;1;0;0;0;0;0
P223146169;1;0;0;0;0;0
P22314619649;0;0;0;0;0;1
P22314777784;1;0;0;0;0;0
P22314918944;1;0;0;0;0;0
P22626161185;0;1;0;0;0;0
P23141474491;0;1;0;0;0;0
P23246451474;0;1;0;0;0;0
P23381406417;0;0;0;0;0;1
P235286981;0;0;0;1;0;0
P23588588611;0;0;0;0;0;1
P2363412131241;0;1;0;0;0;0
P237862537;0;0;0;0;0;1
P23946123142;0;1;0;0;0;0
P24534211225;1;0;0;0;0;0
P246668798;0;1;0;0;0;0
P2482118301843;0;0;0;0;0;1
P24821642648;0;0;0;0;0;1
P2482188103;0;0;0;0;0;1
P24928493512;0;1;0;0;0;0
P25189221227;0;0;0;0;0;1
P25325167176;0;0;0;0;0;1
P253981233P253981233;0;0;0;0;0;1
P25787200219;0;1;0;0;0;0
P26038496503;0;1;0;0;0;0
P26038526533;0;1;0;0;0;0
P261961522;0;1;0;0;0;0
P26599165185;0;0;0;0;1;0
P26599409418;0;0;0;0;0;1
P27635163176;0;0;0;0;0;1
P276356169;0;0;0;0;1;0
P27694361372;0;1;0;0;0;0
P27694373382;0;0;0;0;0;1
P27695208221;0;1;0;0;0;0
P27816876888;0;0;0;0;0;1
P27824239274;0;0;0;0;1;0
