;One;Two;Three;Four;Five;Six
Q13867;1;1;1;1;1;1
Q13200;1;1;1;1;1;1
P07108;1;1;1;1;1;1
Q86YZ3;1;1;1;1;0;1
P06748;1;1;1;1;1;1
P25786;1;1;1;0;1;1
P02750;1;1;1;1;1;1
P10644;1;1;1;1;1;1
O00231;1;1;1;1;1;1
P78417;1;1;1;0;1;1
P62854;1;1;1;1;0;1
Q9NUP9;1;1;1;1;0;1
Q03135;1;1;1;1;1;1
P21912;1;1;1;1;0;1
P62195;1;1;1;1;1;1
O43447;1;1;0;1;0;1
Q9Y4Y9;1;1;1;1;0;1
Q13263;1;1;1;1;1;1
Q9Y3U8;1;1;1;1;1;1
P55008;1;0;0;0;0;1
P02655;1;1;1;1;1;1
P06702;1;1;1;1;0;1
P61106;1;1;1;0;0;1
P49748;1;1;1;1;1;1
A0A075B6P5;1;1;0;1;1;1
Q9NNX1;1;1;1;1;1;1
P62987;1;1;1;1;1;1
O43399;1;1;1;1;1;1
O60716;1;1;1;1;0;1
P20073;1;1;1;1;1;1
P42330;1;0;1;1;0;1
Q9UBQ7;1;1;1;1;0;1
Q9Y6N5;1;0;0;1;1;1
P12236;1;1;1;1;0;1
P02788;1;0;1;0;0;1
Q99733;1;1;1;1;0;1
P55145;1;0;1;1;0;1
P11586;1;1;1;1;0;1
P35237;1;1;1;0;0;1
P07942;1;1;1;1;1;1
Q9UJU6;1;1;1;1;1;1
O15212;1;1;1;1;1;1
P17174;1;1;1;0;1;1
O60504;1;1;0;1;0;1
Q9BR76;1;1;1;1;1;1
P01860;1;1;1;1;1;1
Q9BSJ8;1;1;0;0;0;1
P16152;1;1;1;1;1;1
Q14203;1;1;1;1;0;1
P02461;1;1;1;1;1;1
P53634;1;0;0;0;0;1
P02511;1;1;1;1;1;1
P54709;1;1;1;1;0;1
Q15942;1;1;1;1;1;1
P30837;1;1;1;1;0;1
P36871;1;0;1;1;0;1
Q9UGI8;1;1;0;1;0;1
P09972;1;1;1;1;1;1
B9A064;1;1;1;1;0;1
P07203;1;1;1;1;0;1
P08697;1;1;1;1;1;1
P40227;1;1;1;1;1;1
P11766;1;1;1;1;1;1
P43686;1;1;1;1;1;1
Q9BWD1;1;1;0;0;1;1
O75131;1;1;1;1;0;1
P47914;1;1;1;1;1;1
Q16543;1;1;1;1;1;1
Q96C19;1;1;1;1;1;1
Q08209;1;1;1;1;1;1
P06454;1;1;1;1;1;1
Q8WUF5;1;1;1;1;1;1
P05556;1;1;1;0;1;1
Q06033;1;1;1;1;1;1
P46937;1;1;1;1;1;1
P07358;1;1;0;1;0;1
O60234;1;1;1;1;1;1
Q00169;1;1;1;0;0;1
A0A0C4DH73;1;1;1;1;1;1
Q13347;1;1;1;1;0;1
Q16787;1;1;1;1;1;1
P16144;1;1;1;1;0;1
P16452;1;1;1;1;1;1
Q9BXX0;1;0;0;1;1;1
Q8WZA0;1;1;1;1;1;1
P61088;1;1;1;1;1;1
Q71UI9;1;0;1;1;0;1
O75947;1;0;1;1;0;1
Q99832;1;1;1;1;0;1
P15880;1;1;1;1;1;1
Q16762;1;1;0;1;1;1
P41091;1;0;0;0;1;1
P04259;1;1;1;1;1;1
P20618;1;1;1;1;1;1
P35268;1;1;1;0;1;1
P13797;1;1;1;1;1;1
P52907;1;1;1;1;1;1
Q15717;1;1;0;1;1;1
Q9Y2W1;1;1;0;1;0;1
P55786;1;1;1;1;1;1
Q16774;1;1;0;1;0;1
P12830;1;1;0;1;1;1
Q12797;1;1;1;1;0;1
P62328;1;1;1;0;1;1
Q13642;1;1;1;1;1;1
P07357;1;1;1;1;1;1
O75489;1;0;0;1;0;1
P08865;1;1;1;1;1;1
Q96FQ6;1;1;1;1;0;1
Q14152;1;1;1;1;1;1
P23142;1;1;1;1;1;1
P42167;1;1;0;1;1;1
P12532;1;1;1;1;1;1
P07900;1;1;1;1;1;1
O60506;1;1;1;1;1;1
Q13404;1;1;0;1;1;1
P49411;1;1;1;1;1;1
P28331;1;1;1;1;0;1
P18077;1;1;1;1;1;1
Q99798;1;1;1;1;1;1
P62841;1;1;1;1;1;1
Q99426;1;1;1;1;0;1
P40261;1;1;1;1;1;1
P30838;1;1;0;1;1;1
P35611;1;1;1;1;1;1
P35998;1;1;0;0;0;1
Q13151;1;1;1;1;1;1
Q15181;1;1;1;1;1;1
Q13838;1;1;1;1;1;1
P55084;1;1;1;1;1;1
P47755;1;0;1;1;0;1
P31146;1;1;1;1;1;1
A0A0C4DH32;1;1;0;0;0;1
P0C0L5;1;0;1;1;1;1
Q14011;1;1;1;1;1;1
Q92734;1;1;0;0;0;1
P14550;1;1;1;1;1;1
Q12906;1;1;1;1;0;1
Q15365;1;1;1;1;1;1
P14543;1;1;1;1;1;1
O15143;1;1;1;1;1;1
P27824;1;1;1;1;1;1
Q9NVD7;1;1;0;0;0;1
P09104;1;0;1;1;1;1
Q0ZGT2;1;1;1;0;0;1
Q92945;1;1;1;1;0;1
A0A0C4DH68;1;1;1;1;1;1
P36578;1;1;1;1;1;1
Q08257;1;1;0;1;0;1
O94875;1;1;1;1;1;1
P46783;1;1;1;1;1;1
P05091;1;1;1;1;1;1
P40939;1;1;1;1;1;1
P27361;1;1;1;1;0;1
O75339;1;1;1;1;1;1
P08559;1;1;1;1;1;1
P62191;1;1;1;1;1;1
P61586;1;1;1;1;1;1
Q9HBL0;1;1;0;1;1;1
Q96A26;1;1;1;1;0;1
P05783;1;1;1;1;1;1
Q9NRV9;1;1;1;1;0;1
P61353;1;1;1;1;1;1
O14818;1;1;1;1;1;1
P23526;1;1;1;1;1;1
P48637;1;1;1;1;1;1
Q9GZM7;1;0;1;1;1;1
Q6E0U4;1;0;1;1;1;1
P48735;1;1;1;1;1;1
P59998;1;1;0;1;0;1
P02792;1;1;0;1;1;1
O15020;1;1;1;1;0;1
P49862;1;1;1;1;1;1
P12268;1;1;1;1;1;1
O60240;1;1;1;1;1;1
Q08188;1;1;1;1;0;1
P02652;1;1;1;1;1;1
P09871;1;1;0;1;1;1
Q15631;1;1;1;1;1;1
P35222;1;0;1;1;1;1
P63220;1;1;1;1;1;1
P08727;1;1;1;1;1;1
Q9UIJ7;1;1;1;1;1;1
P00746;1;1;0;0;1;1
P04899;1;1;0;1;0;1
P05198;1;1;1;1;1;1
Q9BVK6;1;1;1;1;1;1
Q16204;1;1;1;1;1;1
Q07954;1;1;1;1;1;1
P46776;1;1;1;1;1;1
P51608;1;1;1;1;0;1
P19367;1;1;1;1;1;1
P27348;1;1;1;1;1;1
Q00839;1;1;1;1;1;1
P55795;1;1;1;1;1;1
Q15366;1;1;1;1;1;1
P49368;1;1;1;1;1;1
O00299;1;1;1;1;1;1
P19652;1;1;1;1;1;1
Q99497;1;1;1;1;1;1
Q03001;1;1;1;1;0;1
P63267;1;1;1;1;1;1
P68371;1;1;1;1;1;1
P62241;1;1;1;1;1;1
P17987;1;1;1;1;0;1
P60981;1;1;1;1;1;1
P14927;1;1;1;1;1;1
P26641;1;1;1;1;1;1
O60701;1;1;1;1;1;1
Q86Y46;1;1;1;1;0;1
Q8IZP0;1;1;0;1;0;1
P30044;1;1;1;1;1;1
P31040;1;0;0;1;0;1
P09496;1;1;1;1;1;1
P01602;1;1;1;1;1;1
P00505;1;1;1;1;1;1
A0A0C4DH69;1;1;0;1;1;1
Q16851;1;1;1;1;1;1
Q14103;1;1;1;1;1;1
Q99623;1;1;1;1;1;1
O43776;1;1;1;1;0;1
P47756;1;1;1;1;1;1
P11171;1;0;1;1;1;1
Q9NR46;1;1;1;1;1;1
P05090;1;1;1;1;1;1
O14745;1;1;1;1;1;1
P48681;1;1;1;1;0;1
Q9NP74;1;1;1;1;1;1
P68431;1;1;1;1;1;1
O14974;1;1;0;1;0;1
P00736;1;1;1;1;0;1
Q9NVJ2;1;1;1;0;1;1
P40429;1;1;1;1;1;1
Q14574;1;1;1;1;1;1
P00491;1;1;1;1;1;1
